DISTR.1,GRADE,SLFHLTH,SLFWGHT,WORKHARD,GOODQUAL,PHYSFIT,PROUD,LIKESLF,ACCEPTED,FEELLOVD,DIET,DISTR.2,race
0.47,10,4,4,2,2,2,2,5,2,2,1,0.4,other
0.05,8,2,3,1,1,2,1,1,2,1,1,0.09,other
0.63,8,2,3,2,2,2,2,3,2,2,0,0.69,other
0.16,9,1,4,2,1,2,1,2,2,1,1,0.08,black
1.79,9,4,4,1,2,2,2,3,3,2,0,1.41,black
0.32,10,1,3,1,1,2,1,4,1,1,0,0.52,other
1.11,10,2,3,1,1,2,1,2,2,2,0,1.32,other
0.32,9,3,4,2,1,3,2,2,3,3,0,0.29,other
0.26,10,1,4,2,2,2,2,1,3,2,0,0.43,other
0.89,10,2,2,2,2,1,1,1,1,1,0,1.76,black
0.42,7,2,4,3,2,3,1,2,2,1,1,0.32,other
0.16,8,1,2,2,1,1,1,1,1,2,0,0.35,other
0.42,11,4,4,2,2,3,1,3,4,2,1,0.47,other
0.21,8,3,3,1,1,2,1,2,2,1,0,0.42,other
1.42,9,4,3,2,3,3,3,5,4,3,0,1.85,other
1.16,9,3,2,3,2,2,1,1,2,1,0,1.2,other
0.37,11,2,2,2,2,2,2,2,2,2,0,0.45,black
0.68,9,2,4,3,2,2,2,4,3,2,1,0.57,other
0.89,8,3,5,3,2,2,2,2,2,2,0,0.21,other
0.47,11,2,4,1,2,3,3,1,4,3,1,0.84,other
0.11,9,1,3,2,1,1,1,1,1,1,0,0.1,black
0.79,9,2,2,3,2,2,1,2,2,2,0,1.07,other
1.11,10,3,2,1,2,2,2,2,2,2,1,0.31,other
0.68,11,3,3,1,2,2,2,2,3,2,0,0.78,non-black hispanic
0.53,8,1,4,2,2,2,3,4,3,3,0,0.56,other
0.58,11,3,5,2,2,3,2,3,4,3,1,0.91,other
1.11,11,3,3,4,2,3,1,1,4,2,0,1.72,other
0.63,11,2,2,2,2,2,2,2,2,2,0,0.39,other
0.74,7,3,2,2,4,3,4,4,4,3,0,1.46,other
1.16,9,2,5,1,1,3,2,2,1,2,1,1.04,black
0.68,9,2,2,3,2,3,2,4,1,1,0,0.75,black
1,11,2,4,2,2,2,2,4,3,2,1,0.39,other
0.74,7,1,1,2,1,1,1,1,1,1,0,0.02,non-black hispanic
0.37,10,2,3,1,2,2,1,1,2,1,0,0.32,non-black hispanic
0.26,11,4,3,1,2,2,1,1,2,1,0,0.43,black
0.89,8,2,4,1,2,1,2,2,3,2,0,1.28,other
0.37,11,2,2,2,2,2,2,1,2,3,0,0.4,non-black hispanic
0.37,10,1,3,2,2,2,2,2,2,1,0,0.13,other
0.53,11,2,3,2,1,2,1,2,2,2,0,0.13,other
0.21,9,3,3,2,1,1,2,1,3,1,0,0.13,other
0.37,9,2,3,2,2,2,1,2,1,1,0,0.22,other
0.16,7,2,3,2,2,2,2,1,1,1,0,0.19,other
1.68,9,3,4,4,3,3,2,3,4,3,1,0.76,other
2.05,7,3,3,4,2,2,2,3,2,2,1,0.89,other
0.32,11,2,3,2,4,2,3,3,4,3,0,0.52,other
0.95,9,1,2,2,2,2,2,2,1,2,0,0.84,other
0.95,8,2,3,4,2,2,1,1,2,1,0,0.58,black
0.47,7,3,3,3,2,3,2,2,2,1,0,0.34,other
0.16,10,2,1,2,2,2,1,2,2,2,0,0.33,other
0.32,10,1,3,4,2,2,2,2,2,1,0,0.93,other
0.84,8,3,4,3,1,1,1,1,1,1,1,0.9,non-black hispanic
0.74,11,1,3,3,2,2,2,2,1,1,0,0.57,other
0.89,11,3,5,3,1,4,1,2,2,2,0,0.93,other
0.71,8,1,3,2,2,2,2,3,2,1,0,0.92,other
0.16,11,2,3,2,1,1,1,1,1,1,0,0.31,non-black hispanic
0.21,9,2,3,2,2,2,2,1,1,1,0,0.16,other
0.53,8,1,2,4,3,2,2,2,1,1,0,0.17,other
1,9,1,4,2,2,2,1,2,1,2,0,0.39,other
1,7,2,4,1,1,1,1,2,1,1,0,1.69,other
0.11,10,1,2,3,1,1,1,1,1,1,0,0.05,other
0.37,8,2,3,1,2,3,2,1,1,1,0,0.22,other
0.21,11,2,3,1,2,4,3,2,2,2,0,0.45,other
0.37,11,1,3,2,1,2,1,1,1,1,0,0.05,other
0.63,11,3,3,2,2,1,2,2,2,2,1,0.73,other
1.21,10,3,3,2,2,2,2,3,2,3,0,1.82,other
0.63,9,2,5,2,1,3,1,3,1,1,1,0.6,other
1.32,9,1,3,2,1,2,1,2,1,1,0,0.94,black
1.63,9,2,3,3,2,2,1,2,2,1,1,1.02,other
0.37,9,2,3,1,1,1,2,1,2,2,0,0.88,other
0.74,10,2,3,2,2,1,2,1,1,1,0,0.61,non-black hispanic
0.26,11,3,3,3,2,2,2,1,2,3,0,0.24,other
0.26,11,2,3,2,1,2,1,1,1,2,0,0.32,black
0.47,11,3,3,3,1,2,1,1,1,1,0,0.08,black
0.68,9,3,3,2,2,3,2,2,3,1,0,0.4,other
0.21,8,1,3,2,2,2,2,3,3,2,0,0.46,non-black hispanic
1.32,9,2,4,2,2,2,2,2,3,1,0,0.92,black
1.21,10,3,4,4,2,4,2,2,2,2,1,0.67,other
0.63,11,1,4,2,2,3,2,3,4,3,1,0.02,other
0.58,11,3,1,1,2,2,2,3,2,2,0,0.59,non-black hispanic
0.53,11,1,3,2,1,1,1,1,2,2,0,0.9,other
0.63,7,4,5,2,3,5,4,5,4,4,1,1.51,other
0.53,8,1,2,3,2,2,3,2,2,2,0,0.61,non-black hispanic
0.89,10,3,4,2,1,2,2,2,2,2,0,1.35,non-black hispanic
0.68,11,2,3,2,2,2,2,2,2,1,0,0.55,other
0.63,11,2,3,4,2,3,2,4,2,2,0,0.44,other
0.32,7,2,1,3,1,4,1,1,2,2,1,0.41,other
0.37,7,3,4,3,2,3,2,1,4,2,0,0.4,other
0,11,1,3,2,1,2,1,2,1,1,0,0.03,non-black hispanic
1,10,2,4,2,2,3,2,3,3,2,0,0.04,other
1.05,10,1,3,1,1,2,1,2,2,1,1,1.09,other
1.26,11,1,3,2,1,1,1,1,1,1,0,0.63,non-black hispanic
0.58,7,2,5,2,1,2,1,1,2,2,0,0.48,non-black hispanic
0.79,7,2,5,3,1,2,1,2,2,1,0,0.96,other
0,7,1,2,2,1,1,1,1,1,1,0,0.01,other
0.16,9,1,3,1,1,2,1,1,1,1,0,0.16,non-black hispanic
0.26,8,1,3,3,2,1,2,1,2,2,0,0.08,other
0.63,7,2,3,3,1,2,1,2,1,1,0,0.21,other
0.53,10,2,4,1,2,4,2,3,2,1,1,0.61,other
0.05,7,2,5,1,1,1,1,1,1,1,1,0.08,other
0.26,9,3,5,1,2,4,2,3,2,1,1,0.01,other
1.47,7,1,3,1,1,1,1,1,1,1,0,0.91,other
1.26,10,2,4,2,3,2,5,4,5,3,0,2.36,other
1.68,10,1,2,4,3,2,2,2,2,1,0,1.08,non-black hispanic
1.95,10,2,3,2,3,2,2,3,3,2,0,0.03,other
0.74,10,2,3,1,2,1,2,2,1,2,0,1.37,other
